Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XLC,XLRE
05/04/2021,83.72133636,48.56356049,36.11238861,102.0462799,135.8115387,68.13191223,64.51070404,121.0883408,175.1543884,76.31938171,41.18352127
05/05/2021,84.7826004,50.1319809,36.407341,102.1449432,135.4839478,68.08309174,63.42354584,121.3052063,174.6076965,76.17058563,40.57960129
05/06/2021,85.49992371,50.39019394,36.94809341,102.8553085,136.8439484,68.9617157,63.90888214,121.4629211,174.9853973,77.06332397,40.77441406
05/07/2021,86.34500122,51.28916931,37.1447258,103.9406052,138.0153503,68.9617157,64.10302734,122.3008041,176.555954,77.6485672,41.27119064
05/10/2021,85.96177673,51.3082962,37.11523438,104.0392609,134.5309448,69.48888397,64.75336456,122.4585266,173.4149017,76.16065979,41.45626068
05/11/2021,86.24674225,49.98853302,36.45650101,102.5001297,134.1239471,68.88361359,63.95742416,121.1376343,171.4566803,75.94242859,40.96923065
05/12/2021,84.0750885,50.22761536,36.08288956,100.0434418,130.3516693,67.96595001,62.46259308,119.9941711,165.6516724,74.45453644,39.97567749
05/13/2021,85.36235809,49.61555481,36.6629715,101.9180222,132.0789795,68.92266083,63.66622162,121.0784836,166.8246002,74.99018097,40.48219299
05/14/2021,86.38431549,51.15527725,37.24304962,103.3288956,134.9875946,69.22530365,63.97684479,121.6896362,169.7171783,76.46815491,40.86207962
05/17/2021,87.14093781,52.34115601,37.31187057,103.013176,133.994873,69.12767029,63.45267868,121.4629211,169.4090118,75.86309052,40.88156128
05/18/2021,86.177948,51.12658691,36.79078293,101.513504,132.92276,68.9128952,63.44297409,121.5023499,168.0870056,75.08937073,40.9594841
05/19/2021,84.86121368,49.85464096,36.56465149,100.9412613,133.3893433,68.68836975,63.3361969,121.2953491,166.6754913,75.20840454,40.80363464
05/20/2021,84.91033936,49.77813339,36.58431625,101.1681976,135.9405823,69.32292175,63.88948059,122.5669403,168.3851929,76.49791718,41.31015015
05/21/2021,85.0970459,49.88332748,36.94809341,101.6615067,135.1960602,69.33268738,64.21951294,122.5866623,167.5402832,76.24001312,41.24196243
05/24/2021,85.85368347,50.38063431,37.12506485,102.2929382,137.5983887,69.53770447,64.10302734,122.7049561,169.2002869,77.62872314,41.69003677
05/25/2021,85.12652588,49.35733795,36.7514534,101.9870911,137.6380768,69.55722046,63.32648468,122.3402252,169.7370453,77.60888672,41.80692291
05/26/2021,85.15601349,49.79726028,36.8596077,102.3126678,137.6281891,69.41078949,63.3361969,121.6304932,171.3572845,78.11476898,41.90433121
05/27/2021,85.83403015,49.83551025,37.28237152,103.7136841,136.9035187,68.98124695,62.90909958,121.364357,172.0431519,78.41235352,41.85563278
05/28/2021,85.74559021,49.93114471,37.35120392,103.7136841,137.3899231,69.12767029,63.24883652,121.8375015,171.8045807,78.15445709,42.1381073
06/01/2021,86.94441223,51.85342026,37.57733154,104.118187,136.7148895,68.89337921,62.86057281,119.8364487,171.4765472,78.20404053,42.85891724
06/02/2021,86.21726227,52.81933212,37.63632202,103.8222122,137.657959,69.14720917,63.19059372,119.5998764,170.6813507,77.96598816,43.4530983
06/03/2021,86.19760895,52.96278763,37.72481155,103.5952835,136.3773651,69.57674408,63.56916046,119.964592,168.6535797,77.44025421,43.36543274
06/04/2021,86.38431549,53.31663513,37.82312775,103.9307327,138.9980927,69.82080078,63.47209167,120.3490295,170.0054169,78.55123138,43.40439606
06/07/2021,85.33287811,53.08710861,37.57733154,103.2105026,138.968338,69.70366669,63.58856964,120.782753,170.0054169,78.95791626,43.81350327
06/08/2021,85.49010468,53.54616165,37.47901535,103.4768753,138.9782562,69.11791992,63.04499435,120.4081802,171.3771667,78.7297821,44.04727554
06/09/2021,84.82190704,53.21143341,37.12506485,102.4212036,139.0775146,68.78598785,63.60798264,121.5713577,170.4328461,78.65041351,44.0959816
06/10/2021,84.31092834,53.14448929,36.69246292,101.9180222,140.1000061,69.21553802,64.02537537,123.651268,171.2380066,79.07695007,44.54405212
06/11/2021,84.62538147,52.96278763,36.92842865,102.1252136,140.9338684,69.2545929,64.1709671,122.7739639,172.1723785,79.16622162,44.26157379
06/14/2021,83.58377075,52.73325729,36.54498672,101.6615067,142.3633575,69.21553802,64.30686951,122.8823929,172.2220764,79.69194794,44.51483154
